File,Patterns,EstimatedPreset,APICalls
"src/test-import-validation.ts","defaultImport","default",""
"src/test-api-fix.ts","getAuthClient,submoduleImport","default",""
"src/lib/query-client.ts","submoduleImport","default",""
"src/lib/axios.ts","submoduleImport","default",""
"src/lib/axios-error-interceptor.ts","submoduleImport","default",""
"src/lib/api/workHistory.ts","defaultImport","default","get,post,put,delete"
"src/lib/api/weeklyReport.ts","getAuthClient,submoduleImport","default","get,post,put,delete"
"src/lib/api/user.ts","submoduleImport","default","get,post,put,delete"
"src/lib/api/skillSheet.ts","getAuthClient,submoduleImport","default","get,post,put,delete"
"src/lib/api/retry-config.ts","submoduleImport","default","get,post,put,delete"
"src/lib/api/profile.ts","submoduleImport","default","get,post,put,delete"
"src/lib/api/leave.ts","getAuthClient","default","get,post,put,delete"
"src/lib/api/index.ts","defaultImport,submoduleImport","default","get,post,put,delete"
"src/lib/api/config.ts","submoduleImport","default","get,post,put,delete"
"src/lib/api/types/unified.ts","submoduleImport","upload","get,post,put,delete"
"src/lib/api/sales/index.ts","namedImport","default","get,post,put,delete"
"src/lib/api/optimization/interceptor-optimizer.ts","submoduleImport","default","get,post,put,delete"
"src/lib/api/migration/feature-flag.ts","defaultImport,submoduleImport","default","get,post,put,delete"
"src/lib/api/factory/interceptors.ts","submoduleImport","default","get,post,put,delete"
"src/lib/api/factory/index.ts","submoduleImport","upload","get,post,put,delete"
"src/lib/api/auth/index.ts","submoduleImport","auth","get,post,put,delete"
"src/hooks/useWorkHistoryMutation.ts","submoduleImport","default","get,post,put,delete"
"src/hooks/useWorkHistory.ts","submoduleImport","default","get,post,put,delete"
"src/hooks/useExpenseSummary.ts","submoduleImport","default","get,post,put,delete"
"src/hooks/useExpenseLimitCheck.ts","submoduleImport","default","get,post,put,delete"
"src/hooks/useExpenseLimitAdmin.ts","submoduleImport","default","get,post,put,delete"
"src/hooks/useExpenseApproverAdmin.ts","submoduleImport","default","get,post,put,delete"
"src/hooks/weeklyReport/useWeeklyReportData.ts","submoduleImport","default","get,post,put,delete"
"src/hooks/skillSheet/useSkillSheetForm.ts","submoduleImport","default","get,post,put,delete"
"src/hooks/skillSheet/useSkillSheet.ts","submoduleImport","default","get,post,put,delete"
"src/hooks/profile/useSubmission.ts","submoduleImport","default","get,post,put,delete"
"src/hooks/profile/useProfile.ts","submoduleImport","default","get,post,put,delete"
"src/hooks/notification/useNotifications.ts","submoduleImport","default","get,post,put,delete"
"src/hooks/expense/useExpenses.ts","submoduleImport","default","get,post,put,delete"
"src/hooks/expense/useExpenseSubmit.ts","submoduleImport","default","get,post,put,delete"
"src/hooks/expense/useExpenseFiscalYear.ts","submoduleImport","default","get,post,put,delete"
"src/hooks/expense/useExpenseDetail.ts","submoduleImport","default","get,post,put,delete"
"src/hooks/expense/useCategories.ts","submoduleImport","default","get,post,put,delete"
"src/hooks/common/useQueryErrorHandler.ts","submoduleImport","default","get,post,put,delete"
"src/hooks/common/useNotifications.ts","defaultImport","default","get,post,put,delete"
"src/hooks/common/useErrorHandler.ts","submoduleImport","default","get,post,put,delete"
"src/hooks/common/useCachePreloader.ts","defaultImport","admin","get,post,put,delete"
"src/hooks/common/useAbortableEffect.ts","submoduleImport","default","get,post,put,delete"
"src/hooks/admin/useWeeklyReportsQuery.ts","submoduleImport","admin","get,post,put,delete"
"src/hooks/admin/useWeeklyReports.ts","submoduleImport","admin","get,post,put,delete"
"src/hooks/admin/useWeeklyReportSummary.ts","submoduleImport","admin","get,post,put,delete"
"src/hooks/admin/useSalesQuery.ts","submoduleImport","admin","get,post,put,delete"
"src/hooks/admin/useSales.ts","submoduleImport","admin","get,post,put,delete"
"src/hooks/admin/useInvoicesQuery.ts","submoduleImport","admin","get,post,put,delete"
"src/hooks/admin/useInvoices.ts","submoduleImport","admin","get,post,put,delete"
"src/hooks/admin/useFollowUpQuery.ts","submoduleImport","admin","get,post,put,delete"
"src/hooks/admin/useEngineersQuery.ts","submoduleImport","admin","get,post,put,delete"
"src/hooks/admin/useDashboardQuery.ts","submoduleImport","admin","get,post,put,delete"
"src/hooks/admin/useDashboard.ts","submoduleImport","admin","get,post,put,delete"
"src/hooks/admin/useClientsQuery.ts","submoduleImport","admin","get,post,put,delete"
"src/hooks/admin/useClients.ts","submoduleImport","admin","get,post,put,delete"
"src/hooks/admin/useCachedAlertSettings.ts","submoduleImport","admin","get,post,put,delete"
"src/hooks/admin/useAlertSettings.ts","submoduleImport","admin","get,post,put,delete"
"src/hooks/admin/useAlertHistory.ts","submoduleImport","admin","get,post,put,delete"
"src/api/unsubmittedReport.ts","defaultImport","default","get,post,put,delete"
"src/api/notification.ts","defaultImport","default","get,post,put,delete"
"src/context/AuthContext.tsx","submoduleImport","default","get,post,put,delete"
"src/components/notification/SlackConfigSection.tsx","submoduleImport","default","get,post,put,delete"
"src/components/features/weeklyReport/dialogs/CommentDialog.tsx","defaultImport","default","get,post,put,delete"
"src/components/features/skillSheet/WorkHistoryEditDialog.tsx","submoduleImport","default","get,post,put,delete"
"src/components/features/profile/AccountSettingsSection.tsx","submoduleImport","default","get,post,put,delete"
"src/components/features/notification/UnsubmittedAlert.tsx","namedImport","default","get,post,put,delete"
"src/components/features/notification/NotificationPanel.tsx","namedImport","default","get,post,put,delete"
"src/components/features/notification/NotificationBadge.tsx","namedImport","default","get,post,put,delete"
"src/components/expense/ExpenseSummaryCard.tsx","submoduleImport","default","get,post,put,delete"
"src/components/expense/ExpenseLimitIndicator.tsx","submoduleImport","default","get,post,put,delete"
"src/components/common/QueryErrorBoundary.tsx","submoduleImport","default","get,post,put,delete"
"src/components/common/forms/TechnologyInput.tsx","submoduleImport","default","get,post,put,delete"
"src/components/common/forms/CertificationInput.tsx","submoduleImport","default","get,post,put,delete"
"src/components/admin/leave/LeaveStatistics.tsx","defaultImport","admin","get,post,put,delete"
"src/components/admin/leave/LeaveRequestList.tsx","defaultImport","admin","get,post,put,delete"
"src/app/sales/teams/page.tsx","submoduleImport","default","get,post,put,delete"
"src/app/sales/proposals/page.tsx","submoduleImport","default","get,post,put,delete"
"src/app/sales/poc/page.tsx","submoduleImport","default","get,post,put,delete"
"src/app/sales/interviews/page.tsx","submoduleImport","default","get,post,put,delete"
"src/app/sales/extensions/page.tsx","submoduleImport","default","get,post,put,delete"
"src/app/sales/emails/page.tsx","submoduleImport","default","get,post,put,delete"
"src/app/(authenticated)/(engineer)/notifications/[id]/page.tsx","submoduleImport","default","get,post,put,delete"
"src/app/(authenticated)/(admin)/expense-limits/page.tsx","submoduleImport","default","get,post,put,delete"
"src/app/(authenticated)/(admin)/expense-approvers/page.tsx","submoduleImport","default","get,post,put,delete"
"src/app/(authenticated)/(admin)/approval-reminder/page.tsx","namedImport","default","get,post,put,delete"
"src/app/(authenticated)/(admin)/admin/expenses/pending/page.tsx","submoduleImport","admin","get,post,put,delete"
"src/app/(auth)/login/page.tsx","submoduleImport","default","get,post,put,delete"